Malaya rules_normalizer — 3374 entries
==================================================

&                              -> dan
22nya                          -> dua-duanya
abeees                         -> habis
abes                           -> habis
abez                           -> habis
abg                            -> abang
abgkat                         -> abang dekat
abgnya                         -> abangnya
abgnyaah                       -> abangnya
abiiiss                        -> habis
abis                           -> habis
abiss                          -> habis
abisss                         -> habis
abiz                           -> habis
abizzz                         -> habis
abs                            -> habis
acra                           -> acara
adain                          -> mengadakan
adapin                         -> menghadapi
add                            -> ada
ade                            -> ada
adekx                          -> adeknya
adengan                        -> adegan
adenya                         -> adeknya
adeuh                          -> aduh
adkah                          -> adakah
adl                            -> adalah
adlh                           -> adalah
adoi                           -> aduh
adoii                          -> aduh
adui                           -> aduh
adyem                          -> adem
aee                            -> saja
aelah                          -> alah
aer                            -> air
aerodarat                      -> kapal darat
agama'ny                       -> agamanya
agk                            -> agak
agkt                           -> angkat
agma                           -> agama
ahahahanjirrr                  -> anjing
ahh                            -> ah
ailior                         -> air liur
airasia                        -> air asia x
airline                        -> penerbangan
airlines                       -> penerbangan
airport                        -> lapangan terbang
airpot                         -> lapangan terbang
aja                            -> sahaja
ajaa                           -> saja
ajaaahhhhh                     -> saja
ajah                           -> saja
ajakin                         -> mengajak
ajarin                         -> ajarkan
aje                            -> saja
ajelah                         -> sahajalah
ajer                           -> sahaja
ajh                            -> saja
ajha                           -> saja
ajhh                           -> sahaja
ajj                            -> saja
ajja                           -> sahaja
ajjh                           -> saja
ak                             -> aku
akau                           -> aku
akhirt                         -> akhirat
akhlah                         -> akhlak
akhrt                          -> akhirat
akn                            -> akan
akuh                           -> aku
alak                           -> kepala
alhamd                         -> alhamdulillah
alkhamdulilah                  -> alhamdulillah
all                            -> semua
alloh                          -> allah
alm                            -> almarhum
almh                           -> almarhumah
aloh                           -> allah
alu                            -> aku
amad                           -> amat
ambik                          -> ambil
ambilin                        -> mengambil
ameen                          -> amin
amek                           -> ambil
amen                           -> amin
amer                           -> amir
amfun                          -> ampun
amiend                         -> amien
amik                           -> ambil
amohhh                         -> kamu
ampe                           -> sampai
ampyunnnn                      -> ampun
amu                            -> kamu
ana                            -> saya
anak'y                         -> anaknya
anakny                         -> anaknya
anakx                          -> anaknya
ancur                          -> hancur
ancurrr                        -> hancur
aned                           -> sangat
anedh                          -> sangat
aneed                          -> sangat
aneut                          -> sangat
angkt                          -> angkat
anj                            -> anjing
anjir                          -> anjing
anjjjjjjjj                     -> anjing
ank                            -> anak
ank"                           -> anak-anak
ank2                           -> anak-anak
ank2nya                        -> anak-anaknya
ankknyaaa                      -> anaknya
anknya                         -> anaknya
ankx                           -> anaknya
anterin                        -> antarkan
anual                          -> tahunan
anugrah                        -> anugerah
anyeng                         -> anjing
apah                           -> apa
apahal                         -> kenapa
apain                          -> kenapa ya
apal                           -> hapal
apalai                         -> apa lagi
apalg                          -> apa lagi
apapun                         -> apa pun
ape                            -> apa
aplikasiin                     -> mengaplikasikan
aplks                          -> aplikasi
apo                            -> apa
apun                           -> apapun
apus                           -> hapus
aq                             -> aku
aqu                            -> aku
arab                           -> arab
area                           -> kawasan
arghhh                         -> ah
aritu                          -> hari itu
artix                          -> artinya
asben                          -> suami
ask                            -> tanya
aslinyo                        -> aslinya
astafirullah                   -> astagfirullah
astagfirullh                   -> astagfirullah
astauviruloh                   -> astagfirullah
astgfrlh                       -> astagfirullah
astgfrullah                    -> astagfirullah
astro                          -> astro
at                             -> pada
atleast                        -> sekurang - kurangnya
ato                            -> atau
ats                            -> atas
attitude                       -> sikap
atutt                          -> takut
atuu                           -> satu
atw                            -> atau
august                         -> ogos
aurot                          -> aurat
autuhh                         -> tau tuh
awek                           -> kekasih
awk                            -> awak
awl                            -> awal
awoohhh                        -> allah
ayank                          -> sayang
ayoklaa                        -> ayuh lah
ayuk                           -> ayo
ayukk                          -> yuk
azeeeek                        -> asyik
azekkkk                        -> asyik
b2an                           -> berduaan
babeng                         -> sangat
babget                         -> sangat
babi                           -> khinzir
baca2                          -> baca-baca
bacahalah                      -> bacalah
back                           -> belakang
badingkan                      -> membandingkan
baek                           -> baik
bag                            -> beg
bagaatt                        -> sangat
bagaimna                       -> bagaimana
bagasi                         -> bagasi
baget                          -> sangat
bagiin                         -> membagikan
bagusnyeee                     -> bagusnya
baikxa                         -> baiknya
baju'a                         -> bajunya
baju.a                         -> bajunya
bales                          -> balas
balesin                        -> membalas
bandingin                      -> bandingkan
bang                           -> abang
bangat                         -> sangat
bangcat                        -> bangsat
banged                         -> sangat
bangedd                        -> sangat
bangedt                        -> sangat
banger                         -> sangat
bangets                        -> sangat
bangga"in                      -> membangga-banggakan
banggain                       -> banggakan
bangke                         -> bangkai
bangkret                       -> bangkrut
bangla                         -> bangladesh
bangrt                         -> sangat
bangshad                       -> bangsat
bangt                          -> sangat
banhet                         -> sangat
bante                          -> bantai
bantuanny                      -> bantuannya
bantuim                        -> bantu
banx                           -> bang
banyakin                       -> membanyaki
banyk                          -> banyak
bape                           -> bawa perasaan
bapeerr                        -> bawa perasaan
baper                          -> bawa perasaan
bard                           -> pujangga
bargasi                        -> bagasi
basically                      -> secara asasnya
basodaraa                      -> bersaudara
batesin                        -> batasi
battt                          -> sangat
bawak                          -> bawa
bawanges                       -> bawang
bayangin                       -> bayangkan
bazengg                        -> bajingan
bbrp                           -> beberapa
bbrpa                          -> beberapa
bca                            -> baca
bcnda                          -> bercanda
bdampingan                     -> berdampingan
bdan                           -> badan
bdn                            -> badan
be                             -> jadi
bebrp                          -> beberapa
bedain                         -> membezakan
bedainnya                      -> membezakannya
bedua                          -> berdua
begete                         -> sangat
bego                           -> bodoh
begok                          -> bodoh
behave                         -> berkelakuan baik
bejilbbnya                     -> berjilbabnya
bekap                          -> backup
